id	moduleColor
ENSG000000009715	turquoise
ENSG000000010840	purple
ENSG00000001561	yellow
ENSG000000025492	blue
ENSG000000025868	pink
ENSG000000029194	blue
ENSG000000031477	grey
ENSG000000034029	blue
ENSG000000043992	red
ENSG000000044682	grey
ENSG000000046604	turquoise
ENSG000000047005	yellow
ENSG00000004779	turquoise
ENSG00000004799	grey
ENSG000000048660	purple
ENSG000000048971	purple
ENSG000000050072	turquoise
ENSG000000050202	brown
ENSG000000051871	grey
ENSG000000053394	turquoise
ENSG000000053795	red
ENSG000000054363	yellow
ENSG000000054486	blue
ENSG000000054691	turquoise
ENSG000000054715	magenta
ENSG000000058447	red
ENSG000000058895	grey
ENSG000000058935	blue
ENSG000000059617	turquoise
ENSG000000060251	red
ENSG000000061257	purple
ENSG000000063273	blue
ENSG000000064325	brown
ENSG000000065345	turquoise
ENSG000000065550	red
ENSG000000065766	yellow
ENSG00000006634	yellow
ENSG000000066523	brown
ENSG000000067571	grey
ENSG000000070474	red
ENSG000000072644	pink
ENSG000000073122	magenta
ENSG000000074021	pink
ENSG000000075163	turquoise
ENSG000000075455	red
ENSG000000079235	brown
ENSG000000079444	blue
ENSG000000080833	blue
ENSG000000080861	blue
ENSG000000081305	turquoise
ENSG000000082565	yellow
ENSG000000082774	turquoise
ENSG00000008282	yellow
ENSG000000082835	red
ENSG000000082940	blue
ENSG000000083006	brown
ENSG000000083114	grey
ENSG000000083942	brown
ENSG000000085166	turquoise
ENSG000000085176	brown
ENSG000000096943	grey
ENSG000000100172	purple
ENSG000000100303	grey
ENSG000000102782	blue
ENSG000000103613	turquoise
ENSG000000104047	blue
ENSG00000010610	red
ENSG00000011198	blue
ENSG000000114260	purple
ENSG000000114854	brown
ENSG000000115233	black
ENSG000000116001	blue
ENSG000000120480	brown
ENSG000000121246	magenta
ENSG00000012232	blue
ENSG000000127790	blue
ENSG000000129831	purple
ENSG000000135633	turquoise
ENSG000000137254	brown
ENSG000000138108	turquoise
ENSG000000142575	blue
ENSG000000151338	red
ENSG000000151719	turquoise
ENSG000000154758	blue
ENSG000000177972	purple
ENSG000000182806	blue
ENSG000000199915	brown
ENSG000000202569	brown
ENSG000000204260	turquoise
ENSG000000205773	grey
ENSG000000206338	red
ENSG000000213003	black
ENSG000000213552	blue
ENSG000000215741	brown
ENSG000000217629	red
ENSG000000222676	grey
ENSG000000222772	blue
ENSG00000022567	blue
ENSG000000231716	turquoise
ENSG000000232872	brown
ENSG000000233304	turquoise
ENSG000000234453	yellow
ENSG000000237340	purple
ENSG000000238390	blue
ENSG000000239023	turquoise
ENSG00000023909	yellow
ENSG000000240480	blue
ENSG000000250394	blue
ENSG000000260255	blue
ENSG000000262975	turquoise
ENSG000000266523	pink
ENSG000000267516	pink
ENSG000000269506	brown
ENSG000000270754	brown
ENSG000000276973	brown
ENSG000000278691	red
ENSG000000281166	yellow
ENSG000000282771	red
ENSG00000028839	purple
ENSG000000301102	turquoise
ENSG000000310810	yellow
ENSG000000322198	brown
ENSG000000331706	turquoise
ENSG000000333272	blue
ENSG000000336276	turquoise
ENSG000000338676	turquoise
ENSG000000340534	brown
ENSG000000351151	turquoise
ENSG000000356641	blue
ENSG00000035720	magenta
ENSG000000358622	turquoise
ENSG00000036448	grey
ENSG00000038002	turquoise
ENSG000000382102	yellow
ENSG000000382192	blue
ENSG000000383828	red
ENSG000000384275	blue
ENSG000000393196	brown
ENSG000000395239	red
ENSG000000401998	purple
ENSG000000402756	turquoise
ENSG000000422864	red
ENSG000000423176	turquoise
ENSG000000424935	turquoise
ENSG000000428321	blue
ENSG000000429802	magenta
ENSG000000431430	red
ENSG000000472304	blue
ENSG000000473651	turquoise
ENSG000000475782	turquoise
ENSG000000476344	black
ENSG000000476448	turquoise
ENSG000000478491	red
ENSG000000479323	yellow
ENSG000000480281	pink
ENSG000000481407	purple
ENSG000000483921	brown
ENSG000000484713	red
ENSG000000490893	turquoise
ENSG00000049249	blue
ENSG00000049449	grey
ENSG000000497692	black
ENSG000000500303	black
ENSG00000050344	turquoise
ENSG000000504053	turquoise
ENSG000000504386	yellow
ENSG000000511288	turquoise
ENSG000000513413	purple
ENSG00000051596	black
ENSG000000516200	blue
ENSG000000521264	pink
ENSG000000527493	turquoise
ENSG000000528022	turquoise
ENSG000000539185	turquoise
ENSG000000541487	pink
ENSG000000543922	brown
ENSG000000549672	turquoise
ENSG00000056050	yellow
ENSG000000565580	brown
ENSG000000569728	turquoise
ENSG000000576575	blue
ENSG000000576634	yellow
ENSG000000577042	blue
ENSG00000058056	blue
ENSG000000580916	blue
ENSG000000586684	red
ENSG000000587994	blue
ENSG000000588664	turquoise
ENSG000000591458	turquoise
ENSG000000593776	blue
ENSG000000593782	grey
ENSG00000059573	brown
ENSG00000059588	blue
ENSG000000597280	blue
ENSG000000598045	blue
ENSG00000060140	pink
ENSG00000060558	turquoise
ENSG000000609824	brown
ENSG000000612737	turquoise
ENSG000000616764	turquoise
ENSG000000622824	blue
ENSG000000625245	grey
ENSG000000627162	blue
ENSG000000635873	brown
ENSG000000642015	red
ENSG000000642252	blue
ENSG000000643935	yellow
ENSG000000645473	turquoise
ENSG000000646016	turquoise
ENSG000000646513	turquoise
ENSG000000646520	turquoise
ENSG000000646664	turquoise
ENSG000000646872	turquoise
ENSG000000647630	blue
ENSG000000648863	blue
ENSG000000649325	turquoise
ENSG000000649337	yellow
ENSG00000065057	blue
ENSG000000652439	brown
ENSG00000065308	red
ENSG000000653579	black
ENSG000000654859	grey
ENSG00000065491	purple
ENSG000000655594	blue
ENSG000000656153	brown
ENSG000000656650	turquoise
ENSG000000656754	brown
ENSG000000658825	blue
ENSG00000065923	magenta
ENSG00000065970	turquoise
ENSG000000659788	purple
ENSG000000659895	red
ENSG000000660271	brown
ENSG000000660842	blue
ENSG000000661360	turquoise
ENSG000000662797	purple
ENSG000000663361	turquoise
ENSG00000066557	yellow
ENSG000000665831	turquoise
ENSG000000666974	turquoise
ENSG000000668555	turquoise
ENSG000000670576	brown
ENSG000000671136	black
ENSG000000671416	brown
ENSG00000067182	turquoise
ENSG000000671915	red
ENSG000000672084	blue
ENSG00000067248	purple
ENSG000000673654	turquoise
ENSG000000675600	blue
ENSG000000676066	turquoise
ENSG000000676461	grey
ENSG000000678402	pink
ENSG000000679922	blue
ENSG000000680246	turquoise
