"gene_id","mod_num","mod_color"
"ENSG00000000971",1,"turquoise"
"ENSG00000001084",10,"purple"
"ENSG00000001561",4,"yellow"
"ENSG00000002549",2,"blue"
"ENSG00000002586",8,"pink"
"ENSG00000002919",2,"blue"
"ENSG00000003147",0,"grey"
"ENSG00000003402",2,"blue"
"ENSG00000004399",6,"red"
"ENSG00000004468",0,"grey"
"ENSG00000004660",1,"turquoise"
"ENSG00000004700",4,"yellow"
"ENSG00000004779",1,"turquoise"
"ENSG00000004799",0,"grey"
"ENSG00000004866",10,"purple"
"ENSG00000004897",10,"purple"
"ENSG00000005007",1,"turquoise"
"ENSG00000005020",3,"brown"
"ENSG00000005187",0,"grey"
"ENSG00000005339",1,"turquoise"
"ENSG00000005379",6,"red"
"ENSG00000005436",4,"yellow"
"ENSG00000005448",2,"blue"
"ENSG00000005469",1,"turquoise"
"ENSG00000005471",9,"magenta"
"ENSG00000005844",6,"red"
"ENSG00000005889",0,"grey"
"ENSG00000005893",2,"blue"
"ENSG00000005961",1,"turquoise"
"ENSG00000006025",6,"red"
"ENSG00000006125",10,"purple"
"ENSG00000006327",2,"blue"
"ENSG00000006432",3,"brown"
"ENSG00000006534",1,"turquoise"
"ENSG00000006555",6,"red"
"ENSG00000006576",4,"yellow"
"ENSG00000006634",4,"yellow"
"ENSG00000006652",3,"brown"
"ENSG00000006757",0,"grey"
"ENSG00000007047",6,"red"
"ENSG00000007264",8,"pink"
"ENSG00000007312",9,"magenta"
"ENSG00000007402",8,"pink"
"ENSG00000007516",1,"turquoise"
"ENSG00000007545",6,"red"
"ENSG00000007923",3,"brown"
"ENSG00000007944",2,"blue"
"ENSG00000008083",2,"blue"
"ENSG00000008086",2,"blue"
"ENSG00000008130",1,"turquoise"
"ENSG00000008256",4,"yellow"
"ENSG00000008277",1,"turquoise"
"ENSG00000008282",4,"yellow"
"ENSG00000008283",6,"red"
"ENSG00000008294",2,"blue"
"ENSG00000008300",3,"brown"
"ENSG00000008311",0,"grey"
"ENSG00000008394",3,"brown"
"ENSG00000008516",1,"turquoise"
"ENSG00000008517",3,"brown"
"ENSG00000009694",0,"grey"
"ENSG00000010017",10,"purple"
"ENSG00000010030",0,"grey"
"ENSG00000010278",2,"blue"
"ENSG00000010361",1,"turquoise"
