gene_id,mod_num,mod_color
ENSG00000002549,2,blue
ENSG00000002586,8,pink
ENSG00000002919,2,blue
ENSG00000003402,2,blue
ENSG00000005020,3,brown
ENSG00000005448,2,blue
ENSG00000005893,2,blue
ENSG00000006327,2,blue
ENSG00000006432,3,brown
ENSG00000006652,3,brown
ENSG00000007264,8,pink
ENSG00000007402,8,pink
ENSG00000007923,3,brown
ENSG00000007944,2,blue
ENSG00000008083,2,blue
ENSG00000008086,2,blue
ENSG00000008294,2,blue
ENSG00000008300,3,brown
ENSG00000008394,3,brown
ENSG00000008517,3,brown
ENSG00000010278,2,blue
ENSG00000010404,2,blue
ENSG00000011198,2,blue
ENSG00000011485,3,brown
ENSG00000011523,7,black
ENSG00000011600,2,blue
ENSG00000012048,3,brown
ENSG00000012232,2,blue
ENSG00000012779,2,blue
ENSG00000013725,3,brown
ENSG00000014257,2,blue
ENSG00000015475,2,blue
ENSG00000018280,2,blue
ENSG00000019991,3,brown
ENSG00000020256,3,brown
ENSG00000021300,7,black
ENSG00000021355,2,blue
ENSG00000021574,3,brown
ENSG00000022277,2,blue
ENSG00000022567,2,blue
ENSG00000023287,3,brown
ENSG00000023839,2,blue
ENSG00000024048,2,blue
ENSG00000025039,2,blue
ENSG00000026025,2,blue
ENSG00000026652,8,pink
ENSG00000026751,8,pink
ENSG00000026950,3,brown
ENSG00000027075,3,brown
ENSG00000027697,3,brown
ENSG00000032219,3,brown
ENSG00000033327,2,blue
ENSG00000034053,3,brown
ENSG00000035664,2,blue
ENSG00000038219,2,blue
ENSG00000038427,2,blue
ENSG00000039319,3,brown
ENSG00000042832,2,blue
ENSG00000047230,2,blue
ENSG00000047634,7,black
ENSG00000048028,8,pink
ENSG00000048392,3,brown
ENSG00000049249,2,blue
ENSG00000049769,7,black
ENSG00000050030,7,black
ENSG00000051596,7,black
ENSG00000051620,2,blue
ENSG00000052126,8,pink
ENSG00000054148,8,pink
ENSG00000054392,3,brown
ENSG00000056558,3,brown
ENSG00000057657,2,blue
ENSG00000057704,2,blue
ENSG00000058056,2,blue
ENSG00000058091,2,blue
ENSG00000058799,2,blue
ENSG00000059377,2,blue
ENSG00000059573,3,brown
ENSG00000059588,2,blue
ENSG00000059728,2,blue
ENSG00000059804,2,blue
ENSG00000060140,8,pink
ENSG00000060982,3,brown
ENSG00000062282,2,blue
ENSG00000062716,2,blue
ENSG00000063587,3,brown
ENSG00000064225,2,blue
ENSG00000064763,2,blue
ENSG00000064886,2,blue
ENSG00000065057,2,blue
ENSG00000065243,3,brown
ENSG00000065357,7,black
ENSG00000065559,2,blue
ENSG00000065615,3,brown
ENSG00000065675,3,brown
ENSG00000065882,2,blue
ENSG00000066027,3,brown
ENSG00000066084,2,blue
ENSG00000067057,3,brown
ENSG00000067113,7,black
ENSG00000067141,3,brown
ENSG00000067208,2,blue
ENSG00000067560,2,blue
ENSG00000067840,8,pink
ENSG00000067992,2,blue
ENSG00000068028,8,pink
ENSG00000068383,2,blue
ENSG00000068654,3,brown
ENSG00000069020,7,black
ENSG00000069702,8,pink
ENSG00000069943,2,blue
ENSG00000069974,2,blue
ENSG00000070018,7,black
ENSG00000070190,3,brown
ENSG00000070718,7,black
ENSG00000070731,2,blue
