genes,modules,TRAB,CD4N
ENSG00000002549,blue,1.2759031442380664e-05,5.817223049477175e-06
ENSG00000002586,pink,0.000588673134921457,-0.003276189677291602
ENSG00000002919,blue,-1.1099656790097611e-05,2.592818350093791e-05
ENSG00000003402,blue,-1.4075966080228595e-05,1.3009278507019227e-05
ENSG00000005020,brown,-0.0017399726689489648,8.799706875770082e-05
ENSG00000005448,blue,4.6699645326182074e-05,-1.0991669194536973e-05
ENSG00000005893,blue,-3.2332269068818623e-06,3.0351239462352004e-05
ENSG00000006327,blue,-1.8138556850701544e-05,1.6088120276773393e-05
ENSG00000006432,brown,-0.0008420313641425904,-2.23087076931679e-05
ENSG00000006652,brown,-0.00074867697499594,0.0003386415970526272
ENSG00000007264,pink,0.00017488098147989492,-0.0009527627854125281
ENSG00000007402,pink,0.00026105833121863227,0.003422315348637747
ENSG00000007923,brown,0.0003702469858178096,2.2359652857005223e-05
ENSG00000007944,blue,1.688811607001742e-05,1.826906294114238e-05
ENSG00000008083,blue,-1.853624399719544e-06,1.7861249795181397e-05
ENSG00000008086,blue,-1.6968774826279903e-05,2.819589883879802e-05
ENSG00000008294,blue,-1.6492170342260453e-05,2.4878317845719957e-05
ENSG00000008300,brown,0.00014429290566323068,-3.1773874086803563e-05
ENSG00000008394,brown,-0.000574816898799147,-5.6582973152592263e-05
ENSG00000008517,brown,0.002102206627707296,-0.0003528613641367168
ENSG00000010278,blue,-5.109353959730265e-06,1.3111745654680915e-05
ENSG00000010404,blue,-4.950030100309744e-05,1.3560726086947264e-05
ENSG00000011198,blue,-1.5425496586184325e-05,3.698142900735026e-05
ENSG00000011485,brown,0.001283350665674288,4.3069031202786195e-05
ENSG00000011523,black,0.0007629277937982916,-0.005588826445919807
ENSG00000011600,blue,-7.279163168291439e-06,1.9660194079295127e-05
ENSG00000012048,brown,-4.776178464919906e-05,0.000224838823880179
ENSG00000012232,blue,-8.931856560559525e-06,2.5537567822508352e-05
ENSG00000012779,blue,-7.051161369691719e-06,1.3847543615208619e-05
ENSG00000013725,brown,0.00212925094211919,-0.00020776662221041342
ENSG00000014257,blue,-2.478998731554881e-05,8.47466902207983e-06
ENSG00000015475,blue,-4.670363643131165e-06,1.5471977103635183e-05
ENSG00000018280,blue,-1.5237125060633017e-05,1.352237019592587e-05
ENSG00000019991,brown,-0.0008636976504683374,-5.857764251362887e-05
ENSG00000020256,brown,-2.383203145013694e-05,-0.00014403431599702065
ENSG00000021300,black,0.0013981735007783836,0.004987634450739471
ENSG00000021355,blue,4.791308083764278e-06,2.335757356877394e-05
ENSG00000021574,brown,-0.0008900764198957592,4.001333584181582e-05
ENSG00000022277,blue,9.328108495667284e-06,3.089649792462429e-05
ENSG00000022567,blue,-1.5030102806486136e-05,1.8499254493566486e-05
ENSG00000023287,brown,-4.5800027404817655e-05,4.9139795744310016e-05
ENSG00000023839,blue,-1.3915819493638245e-05,6.875324479457755e-06
ENSG00000024048,blue,-2.063402330320846e-05,2.4787211266698636e-05
ENSG00000025039,blue,-1.2647411405631717e-05,1.0142450246810545e-05
ENSG00000026025,blue,2.5101908744057176e-05,1.5572898820328176e-05
ENSG00000026652,pink,-0.0001983540255148395,-0.00037833543638335175
ENSG00000026751,pink,0.00048758267735031556,0.002112884506610756
ENSG00000026950,brown,0.0009182513093109896,0.00016584894524969155
ENSG00000027075,brown,0.0024407600546641007,2.0798354192848705e-05
ENSG00000027697,brown,0.0002506926633238978,9.495417344548367e-05
ENSG00000032219,brown,0.0001660322549229888,4.496285092033763e-05
ENSG00000033327,blue,-2.3565856831380162e-05,1.711065965570983e-05
ENSG00000034053,brown,0.0009996321595104175,0.00038454593719598165
ENSG00000035664,blue,-2.2432829385873166e-05,3.0242169779445232e-05
ENSG00000038219,blue,1.026262163070113e-05,2.5192667296977202e-05
ENSG00000038427,blue,-2.3328284709225404e-05,5.070263035907724e-06
ENSG00000039319,brown,-0.0012847498035201091,0.00013944750637035264
ENSG00000042832,blue,-5.017044026509402e-06,-3.6026710200859833e-06
ENSG00000047230,blue,-6.642142838338082e-06,-1.7049209679583906e-05
ENSG00000047634,black,7.821205998409159e-05,0.013434461900590956
ENSG00000048028,pink,0.00027134479637261154,0.0025726963630076285
ENSG00000048392,brown,-0.0004783746976355464,0.00020452489042167092
ENSG00000049249,blue,-1.1628401367282471e-05,2.1722879424170167e-05
ENSG00000049769,black,-0.0003287370080576975,-0.004152703424677598
ENSG00000050030,black,0.0004111578121545917,0.009624928278750153
ENSG00000051596,black,-0.00015365442708583269,-0.002900748406847841
ENSG00000051620,blue,5.953745554017068e-06,3.6967773838544364e-05
ENSG00000052126,pink,0.0006278922747669931,-0.007346433655788266
ENSG00000054148,pink,0.0006843345761663779,-0.0002595170773774149
ENSG00000054392,brown,0.0006966890203377206,-0.0005453524789044363
ENSG00000056558,brown,0.001579810899754391,-0.00034436849497915234
ENSG00000057657,blue,-1.4624593426962593e-05,-2.6916110073132488e-05
ENSG00000057704,blue,-6.094984382626362e-06,3.3999284524605425e-05
ENSG00000058056,blue,1.965937914443789e-05,-1.3087072538908237e-05
ENSG00000058091,blue,-3.260699268025521e-05,5.866860813413994e-06
ENSG00000058799,blue,1.0179112760144594e-05,5.717291769118552e-06
ENSG00000059377,blue,-1.3968801769720925e-05,1.5174260660485811e-05
ENSG00000059573,brown,0.003039480376302537,3.443514007099736e-05
ENSG00000059588,blue,3.1908367961513704e-06,-1.1429064803166504e-05
ENSG00000059728,blue,-2.2227308370796216e-05,2.0501139619501808e-05
ENSG00000059804,blue,1.6674076601087506e-05,1.553427958504449e-05
ENSG00000060140,pink,0.00022040373220282881,0.001016219298539693
ENSG00000060982,brown,-0.0011378013487289003,1.6158169735416897e-05
ENSG00000062282,blue,3.0669075639532774e-06,1.3285201930199547e-05
ENSG00000062716,blue,-2.6993678492249425e-05,1.8882873621840217e-05
ENSG00000063587,brown,-0.0006514463411724368,0.00011782619205121824
ENSG00000064225,blue,-2.2347458377690766e-05,1.4026576399819444e-05
ENSG00000064763,blue,-1.3193582806861362e-05,3.128292389130487e-05
ENSG00000064886,blue,2.6794195089297183e-05,1.716501154991164e-05
ENSG00000065057,blue,1.615500176996645e-05,3.66523856489287e-08
ENSG00000065243,brown,-0.001397513952497769,0.00016274119672791273
ENSG00000065357,black,0.00015129371662993724,9.110087041703308e-05
ENSG00000065559,blue,-5.489377051262536e-06,2.1761989448945195e-05
ENSG00000065615,brown,-0.001141312222593646,0.0002165177254970514
ENSG00000065675,brown,0.0035297272006941083,4.976137638605342e-05
ENSG00000065882,blue,-1.3915738688546261e-05,1.6380838716578423e-05
ENSG00000066027,brown,-0.0009096567863441863,0.00029984354614326077
ENSG00000066084,blue,-1.150831340122669e-05,2.057029527544205e-05
ENSG00000067057,brown,0.0008298507738623013,-0.00020188355113953956
ENSG00000067113,black,-5.20023092833745e-05,0.005333421549104709
ENSG00000067141,brown,0.0010113018904191434,-0.0002567794454324026
ENSG00000067208,blue,-4.934211817725077e-05,1.306035898749205e-05
ENSG00000067560,blue,1.7517157976876147e-05,2.851510476335615e-05
ENSG00000067840,pink,0.00031857322203433244,-0.004848135739306159
ENSG00000067992,blue,-2.1061938568030455e-05,2.8470298150637785e-05
ENSG00000068028,pink,-1.2664173287155286e-06,0.0002828856020010068
ENSG00000068383,blue,-2.029676438306818e-05,1.7804905488399316e-05
ENSG00000068654,brown,0.0009618842017142702,0.00011643878372737399
ENSG00000069020,black,-6.47630720963684e-05,-0.006582634379594474
ENSG00000069702,pink,0.0002297503502113889,-0.0008470641738583299
ENSG00000069943,blue,-1.815037731789491e-05,1.0164415460609925e-05
ENSG00000069974,blue,-1.1261746831913304e-05,2.8915729295076078e-05
ENSG00000070018,black,0.0003325599393417942,0.013655409552024074
ENSG00000070190,brown,-0.00029134781370423313,3.9809497059783684e-05
ENSG00000070718,black,0.001099668380374558,0.00036467655170141516
ENSG00000070731,blue,-2.6441573462274306e-06,2.311976118429014e-05
ENSG00000070882,blue,5.34667601554787e-06,-5.1833030897294824e-05
ENSG00000071054,blue,-1.321323865110216e-05,1.4534653799366215e-05
ENSG00000071189,brown,-0.0015204471917389273,3.1733103985745954e-05
ENSG00000071205,pink,0.00012156023221635958,-0.0016233961291802221
ENSG00000071575,black,0.0014503485908579923,-0.0032412850882233245
ENSG00000071967,blue,-2.0248831278066937e-05,2.0066975499899924e-05
ENSG00000072401,brown,-0.0013615937648850107,0.0001077651792109784
ENSG00000072506,blue,4.4938024878030336e-05,1.5348168799849142e-05
ENSG00000072858,brown,0.00033089872286099295,-2.535064077762142e-06
ENSG00000072952,blue,-2.2001916299748173e-06,2.547730640792878e-05
ENSG00000073331,blue,-2.024086573537824e-05,2.625208856492256e-06
ENSG00000073350,pink,0.00021879323878245982,0.00022604679832728734
ENSG00000073464,blue,-5.009872834333376e-06,1.9256805738283406e-05
ENSG00000073605,brown,0.00015983069307509666,0.00018762531955269382
ENSG00000073756,blue,-2.103074643390318e-05,1.833769689942961e-05
ENSG00000073849,brown,0.0009271213602328704,5.9201170197320875e-06
ENSG00000073861,pink,7.831697231756771e-05,0.00160118396861663
ENSG00000073910,blue,-2.7185933397193363e-05,9.039965091691732e-06
ENSG00000073921,blue,-2.7347492725305392e-05,1.7418442457737466e-05
ENSG00000074966,black,-0.0006010074374868441,0.009823127754298906
ENSG00000075223,brown,-0.0004275865200901099,0.0002837677941418232
ENSG00000075234,pink,-3.499802872274404e-05,0.0018398884527565443
ENSG00000075340,brown,0.0001386519789742541,9.053189747380273e-05
ENSG00000075420,blue,-2.873960402573107e-05,1.2777026431125832e-05
ENSG00000075651,blue,-3.466649713020777e-05,1.0724928044275194e-05
ENSG00000075884,brown,0.0009501064392124422,2.055012954871987e-05
ENSG00000076003,blue,5.078788035192779e-05,-9.515028736262172e-06
ENSG00000076248,blue,4.307887119133441e-05,-2.141329428261615e-05
