term,odds_ratio,conf_low,conf_high,p.value,Adj
TRA_total,0.6839,0.5822,0.7994,0,Baseline
TRB_total,0.7233,0.6213,0.8374,0,Baseline
TRG_total,0.9684,0.8467,1.0961,0.6255,Baseline
TRA_unique,0.6199,0.5269,0.7264,0,Baseline
TRB_unique,0.6571,0.5628,0.7642,0,Baseline
TRG_unique,0.9633,0.8416,1.097,0.5799,Baseline
TRA_total,0.8169,0.696,0.9542,0.012,Full
TRB_total,0.8259,0.7108,0.954,0.0108,Full
TRG_total,1.0041,0.8809,1.1315,0.9485,Full
TRA_unique,0.7573,0.6421,0.8894,8.00E-04,Full
TRB_unique,0.7755,0.6628,0.9041,0.0013,Full
TRG_unique,1.0214,0.891,1.1647,0.7564,Full
