file_name,TRAD_unique,TRAD_sum,TRB_unique,TRB_sum,TRG_unique,TRG_sum,IGH_unique,IGH_sum,IGK_unique,IGK_sum,IGL_unique,IGL_sum
F1630918,66.0,73.0,61.0,74.0,12.0,22.0,5.0,8.0,91.0,116.0,33.0,40.0
F1630919,36.0,39.0,16.0,17.0,,,3.0,3.0,28.0,32.0,10.0,14.0
F1630920,34.0,52.0,39.0,55.0,4.0,25.0,,,29.0,41.0,11.0,19.0
F1630929,51.0,73.0,58.0,86.0,6.0,11.0,7.0,7.0,26.0,33.0,5.0,6.0
F1630930,6.0,7.0,11.0,11.0,1.0,2.0,,,11.0,13.0,6.0,6.0
F1630934,34.0,47.0,27.0,39.0,7.0,14.0,,,22.0,27.0,8.0,16.0
F1630935,67.0,137.0,83.0,173.0,7.0,34.0,3.0,3.0,76.0,91.0,31.0,40.0
F1630938,84.0,108.0,91.0,134.0,6.0,15.0,16.0,18.0,100.0,131.0,65.0,96.0
F1630939,43.0,50.0,48.0,57.0,3.0,3.0,5.0,7.0,33.0,43.0,20.0,31.0
F1630941,36.0,57.0,40.0,64.0,4.0,8.0,1.0,1.0,25.0,36.0,2.0,3.0
F1630943,38.0,51.0,43.0,59.0,12.0,17.0,1.0,1.0,17.0,19.0,6.0,7.0
F1630946,,,5.0,9.0,,,,,1.0,1.0,,
F1630948,28.0,31.0,12.0,14.0,1.0,1.0,2.0,3.0,11.0,16.0,2.0,2.0
F1630950,57.0,69.0,56.0,74.0,3.0,5.0,1.0,2.0,12.0,13.0,4.0,5.0
F1630954,50.0,55.0,43.0,52.0,1.0,1.0,7.0,7.0,39.0,48.0,17.0,24.0
F1630957,64.0,129.0,71.0,160.0,9.0,18.0,,,19.0,35.0,7.0,16.0
F1630962,42.0,67.0,53.0,84.0,4.0,4.0,4.0,5.0,32.0,76.0,18.0,26.0
F1630965,17.0,39.0,22.0,66.0,3.0,3.0,1.0,1.0,5.0,6.0,1.0,1.0
F1630970,120.0,156.0,106.0,138.0,10.0,10.0,12.0,16.0,56.0,70.0,18.0,28.0
F1630972,54.0,64.0,42.0,67.0,6.0,13.0,5.0,6.0,14.0,18.0,5.0,5.0
F1630974,40.0,85.0,51.0,118.0,9.0,43.0,26.0,33.0,114.0,172.0,55.0,79.0
F1630976,32.0,40.0,47.0,60.0,3.0,4.0,5.0,5.0,8.0,12.0,6.0,9.0
